780	0.01142	0.00409	735.8251	1104.715	3755.500	1794.484	2049.479
781	0.01127	0.00391	741.9921	1080.047	3764.925	1790.206	2060.684
782	0.01118	0.00378	748.2894	1056.812	3773.988	1786.436	2071.889
783	0.01117	0.00366	754.7170	1036.922	3784.138	1781.724	2084.570
784	0.01099	0.00360	761.1011	1017.031	3791.388	1776.323	2097.382
785	0.01087	0.00357	767.9195	997.2270	3798.275	1770.849	2107.544
786	0.01072	0.00355	774.0865	981.9398	3805.525	1764.759	2117.750
787	0.01055	0.00353	780.6009	966.5658	3814.588	1760.083	2126.566
788	0.01061	0.00349	787.2022	951.2786	3822.200	1754.065	2135.469
789	0.01053	0.00346	793.8903	938.2498	3827.638	1748.591	2142.766
790	0.01036	0.00346	800.3179	926.1764	3835.250	1742.864	2150.062
791	0.01024	0.00347	806.7889	914.0596	3842.500	1737.716	2156.663
792	0.01022	0.00347	813.1730	903.1588	3850.475	1732.243	2163.264
793	0.01012	0.00347	819.4703	893.6912	3855.913	1725.428	2175.729
794	0.01005	0.00352	826.2018	884.1801	3862.438	1720.570	2188.149
795	0.00983	0.00359	832.8031	874.9731	3867.513	1714.154	2200.961
796	0.00974	0.00369	838.9701	867.3729	3872.225	1708.136	2213.642
797	0.00969	0.00379	845.5714	859.7728	3878.025	1702.300	2227.323
798	0.00964	0.00387	852.1726	852.1726	3878.388	1693.818	2241.046
799	0.00951	0.00393	858.6002	845.8754	3887.088	1691.751	2251.209
800	0.00956	0.00403	865.0712	839.6650	3891.075	1685.843	2261.328
801	0.00951	0.00413	871.3685	833.5848	3897.963	1680.333	2266.018
802	0.00936	0.00424	877.7960	828.2864	3900.138	1674.968	2270.709
803	0.00939	0.00434	884.2670	823.5092	3903.038	1669.276	2275.616
804	0.00935	0.00442	890.6946	818.7754	3907.750	1666.703	2280.611
805	0.00932	0.00454	897.0787	814.3890	3912.825	1661.011	2286.430
806	0.00928	0.00467	903.5497	810.9147	3915.363	1655.973	2292.119
807	0.00923	0.00482	909.9772	807.3100	3919.350	1651.224	2298.504
