450	64.8
452	59.6
454	55.2
456	51.24
458	47.84
460	44.68
462	42
464	39.5
466	37.332
468	35.336
470	33.596
472	31.972
474	30.548
476	29.212
478	28.008
480	26.888
482	25.928
484	25.024
486	24.292
488	23.552
490	22.964
492	22.38
494	21.892
496	21.412
498	21.016
500	20.616
502	20.28
504	19.936
506	19.708
508	19.528
510	19.512
512	19.684
514	20.168
516	20.94
518	22.192
520	23.924
522	26.316
524	29.28
526	32.92
528	37
530	41.4
532	45.68
534	49.6
536	52.88
538	55.6
540	57.28
542	58.08
544	57.36
546	55.32
548	51.96
550	48.04
552	44.08
554	40.68
556	37.928
558	36.06
560	35.068
562	35.076
564	36.168
566	38.456
568	42
570	46.72
572	52.2
574	57.48
576	61.04
578	61.44
580	57.68
582	50.4
584	41.12
586	31.752
588	23.548
590	17.048
592	12.248
594	8.864
596	6.536
598	4.936
600	3.844
602	3.068
604	2.5
606	2.076
